                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4716,                 1.8819,                 1.2387,                0.66738,                0.71548,                0.73704,                0.44645,                 1.3479,                0.96944,                 1.1346,               0.070022,              0.0033309,              0.0033309
                      1,                 1.3228,                0.99735,                 1.1283,                0.85555,                0.63094,                0.71087,                0.43452,                 1.3601,                 1.0174,                  1.168,               0.039956,              0.0065983,              0.0065983
                      2,                 1.3732,                 1.0653,                 1.1736,                0.86905,                0.58219,                0.67999,                0.37427,                 1.5067,                 1.2251,                 1.3019,              0.0098238,              0.0097996,              0.0097996
                      3,                 1.3967,                  1.076,                 1.2002,                0.88465,                0.65015,                0.73262,                0.43567,                 1.3965,                0.99994,                 1.2542,               0.009703,               0.009703,               0.009703
                      4,                 1.3531,                0.99371,                 1.1906,                0.88578,                0.66186,                0.73905,                0.44508,                 1.3762,                0.97534,                 1.2468,               0.009703,               0.009703,               0.009703
                      5,                 1.3089,                 0.9322,                 1.1618,                0.86049,                 0.6889,                0.75922,                0.47387,                 1.3421,                0.91452,                 1.2082,               0.009604,               0.009604,               0.009604
                      6,                 1.2629,                0.86498,                 1.1393,                0.91088,                0.65342,                 0.7547,                0.45828,                 1.3067,                0.89934,                 1.1946,               0.009505,               0.009505,               0.009505
                      7,                 1.2414,                0.82609,                 1.1243,                0.73715,                0.70408,                0.77762,                 0.4951,                 1.2882,                0.83746,                 1.1758,               0.009406,               0.009406,               0.009406
                      8,                 1.2214,                0.79616,                 1.1191,                0.76615,                0.73333,                0.77916,                0.49598,                 1.2922,                0.78438,                 1.1891,               0.009307,               0.009307,               0.009307
                      9,                 1.1854,                 0.7691,                 1.0971,                0.73687,                0.76987,                 0.8009,                0.50722,                 1.2706,                0.74112,                 1.1789,               0.009208,               0.009208,               0.009208
                     10,                  1.174,                0.74466,                  1.091,                 0.7803,                0.76306,                0.81902,                0.53143,                 1.2401,                0.76429,                 1.1488,               0.009109,               0.009109,               0.009109
