                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.868,                 2.4956,                 1.6251,                0.49736,                0.45666,                0.46088,                0.20942,                 1.5238,                 1.9811,                 1.3914,                 0.0946,                 0.0006,                 0.0006
                      1,                   1.58,                 1.4767,                 1.3905,                0.78508,                0.82817,                0.83499,                0.46422,                 1.4304,                 1.2235,                  1.214,               0.088287,              0.0012871,              0.0012871
                      2,                  1.428,                 1.1597,                 1.2544,                0.78702,                0.86068,                0.86468,                0.47737,                 1.4889,                0.93472,                 1.2017,                0.08196,              0.0019604,              0.0019604
                      3,                 1.3547,                 1.0188,                 1.2058,                0.85296,                0.87105,                0.92689,                0.51956,                 1.4309,                0.98774,                 1.1671,                0.07562,              0.0026198,              0.0026198
                      4,                 1.3199,                0.85305,                 1.1593,                0.85446,                0.91486,                0.94599,                0.52982,                 1.3849,                0.77918,                 1.1511,               0.069265,              0.0032654,              0.0032654
                      5,                 1.3204,                0.91216,                 1.1297,                0.90598,                0.89164,                0.94616,                0.51842,                 1.4373,                0.77815,                 1.1437,               0.062897,               0.003897,               0.003897
                      6,                 1.3081,                0.84831,                 1.1478,                0.90489,                0.89474,                0.94668,                0.53049,                 1.3562,                 1.3996,                 1.1333,               0.056515,              0.0045149,              0.0045149
                      7,                 1.2924,                0.92452,                 1.1124,                0.90147,                0.93034,                0.95955,                0.55461,                 1.3002,                 1.1493,                 1.1218,               0.050119,              0.0051188,              0.0051188
                      8,                 1.2437,                0.80031,                 1.0984,                0.91362,                0.92415,                0.95248,                0.53823,                 1.3627,                0.68238,                 1.1225,               0.043709,               0.005709,               0.005709
                      9,                  1.339,                 0.7723,                 1.1151,                0.90043,                0.92388,                0.95477,                0.54083,                 1.3681,                0.87345,                 1.1394,               0.037285,              0.0062852,              0.0062852
                     10,                 1.3338,                0.78436,                 1.1352,                0.88054,                0.91796,                 0.9392,                0.54287,                 1.3856,                0.72379,                 1.1294,               0.030848,              0.0068476,              0.0068476
                     11,                  1.338,                0.78457,                 1.1069,                0.93419,                0.90087,                0.95395,                0.53805,                 1.3827,                0.72076,                 1.1416,               0.024396,              0.0073961,              0.0073961
                     12,                 1.2553,                0.94932,                 1.0892,                0.86914,                 0.8452,                0.92134,                0.47511,                 1.4472,                 1.5965,                 1.1778,               0.017931,              0.0079308,              0.0079308
                     13,                 1.2189,                0.92107,                 1.0754,                 0.8275,                0.89319,                0.92235,                0.45663,                 1.5815,                 1.4896,                 1.2636,               0.011452,              0.0084516,              0.0084516
                     14,                 1.2794,                0.99857,                 1.1063,                0.89737,                0.86629,                 0.9483,                0.52471,                 1.3609,                 1.3099,                 1.1805,               0.008614,               0.008614,               0.008614
                     15,                 1.2792,                0.97201,                 1.1108,                0.89989,                0.90448,                0.94592,                0.54693,                 1.3642,                0.94396,                  1.177,               0.008614,               0.008614,               0.008614
