                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4115,                 1.6893,                 1.2371,                0.79399,                 0.8973,                0.84753,                0.49307,                 1.4002,                0.85408,                 1.2267,                  0.091,                  0.001,                  0.001
                      1,                 1.3172,                0.95329,                 1.1909,                0.86228,                 0.8991,                0.92551,                0.53677,                 1.3783,                 1.0115,                 1.2044,               0.081079,              0.0020792,              0.0020792
                      2,                 1.3155,                0.95868,                 1.1334,                0.84988,                0.91807,                0.93652,                0.53528,                 1.3902,                0.92355,                 1.1937,               0.071137,              0.0031366,              0.0031366
                      3,                   1.22,                0.93805,                  1.078,                 0.8513,                0.93333,                0.92656,                0.52562,                 1.4089,                0.76888,                 1.1513,               0.061172,              0.0041723,              0.0041723
                      4,                 1.2208,                0.92577,                 1.0846,                0.90432,                0.92613,                0.95483,                0.56168,                 1.3497,                 1.0485,                  1.149,               0.051186,              0.0051862,              0.0051862
                      5,                  1.179,                0.89482,                 1.0761,                0.90635,                0.93514,                0.96385,                0.53868,                 1.3878,                 1.1454,                 1.1386,               0.041178,              0.0061782,              0.0061782
                      6,                  1.214,                0.84962,                 1.0612,                0.89936,                0.94234,                 0.9625,                0.54111,                 1.4227,                 1.0707,                 1.1449,               0.031149,              0.0071486,              0.0071486
                      7,                 1.1845,                0.75956,                 1.0281,                0.90127,                0.92613,                 0.9435,                0.53545,                  1.409,                0.72621,                 1.1479,               0.021097,              0.0080971,              0.0080971
                      8,                 1.2442,                0.85841,                 1.0752,                0.90127,                0.93755,                 0.9541,                0.55443,                 1.3962,                0.79032,                 1.1303,               0.011024,              0.0090238,              0.0090238
                      9,                 1.1586,                0.81805,                 1.0248,                0.92762,                 0.9237,                0.97197,                0.46642,                 1.4364,                 1.2391,                 1.1636,               0.009109,               0.009109,               0.009109
                     10,                 1.2647,                  0.785,                 1.0626,                0.92911,                 0.9446,                0.96937,                 0.5471,                 1.3853,                0.69426,                 1.1627,               0.009109,               0.009109,               0.009109
                     11,                 1.2488,                0.76638,                 1.0535,                0.88387,                0.91892,                0.94173,                0.53132,                  1.406,                0.80165,                 1.1627,                0.00901,                0.00901,                0.00901
                     12,                 1.2153,                0.76293,                 1.0477,                0.93624,                0.95135,                0.97328,                0.54273,                 1.3846,                0.91012,                 1.1959,               0.008911,               0.008911,               0.008911
                     13,                 1.1695,                0.73172,                 1.0709,                0.89656,                0.94414,                0.94377,                0.53889,                 1.3986,                0.69064,                 1.1538,               0.008812,               0.008812,               0.008812
                     14,                 1.2032,                0.66902,                 1.0359,                0.92825,                0.95315,                0.96807,                0.54584,                 1.3949,                0.74405,                 1.1659,               0.008713,               0.008713,               0.008713
                     15,                 1.2099,                0.69737,                 1.0462,                0.92216,                0.93333,                0.96117,                0.53297,                  1.432,                0.88438,                 1.1856,               0.008614,               0.008614,               0.008614
                     16,                  1.132,                0.63065,                 1.0386,                0.88653,                0.95676,                0.96671,                0.53055,                 1.4291,                0.75973,                  1.224,               0.008515,               0.008515,               0.008515
                     17,                 1.1698,                 0.6433,                 1.0759,                 0.9271,                0.91653,                0.96246,                0.54774,                 1.4471,                0.66199,                 1.2401,               0.008416,               0.008416,               0.008416
                     18,                 1.1357,                0.64771,                  1.043,                0.92786,                0.92704,                0.97061,                 0.5736,                 1.3704,                0.79813,                  1.202,               0.008317,               0.008317,               0.008317
                     19,                 1.0753,                0.69998,                 1.0426,                0.92841,                0.94054,                0.97126,                0.57566,                 1.3397,                0.97698,                 1.1953,               0.008218,               0.008218,               0.008218
                     20,                 1.0889,                0.75475,                 1.0508,                0.92155,                0.94595,                 0.9645,                 0.5693,                 1.3762,                0.61897,                 1.1879,               0.008119,               0.008119,               0.008119
                     21,                 1.0774,                0.62471,                 1.0386,                0.93727,                0.94232,                0.97964,                0.56458,                 1.4008,                0.76524,                 1.2069,                0.00802,                0.00802,                0.00802
